entity_raw,canonical_entity
chondrocalcinosis of the lateral meniscus,chondrocalcinosis of the lateral meniscus
angulation,angulation
polymethyl methacrylate cement,polymethyl methacrylate cement
prognosis,prognosis
"left knee.,procedure",left kneeprocedure
nexgen,nexgen
arthroplasty,arthroplasty
knee bleeding,knee bleeding
degenerative joint disease of the right,degenerative joint disease of the right
"degenerative joint disease of the right knee.,procedure",degenerative joint disease of both knees
knee arthroplasty,knee arthroplasty
cobalt,cobalt
right knee pain,right knee pain
vessel damage,vessel damage
mild-to-moderate osteoarthritis,mildtomoderate osteoarthritis
71-mm,71mm
cement hardened,cement hardened
infected right hip bipolar arthroplasty,infected right hip bipolar arthroplasty
right bipolar,right bipolar
fibrous scar,fibrous scar
gluteus maximus muscle,gluteus maximus muscle
fractures,fractures
femoral head,femoral head
adduction,adduction
degenerative osteoarthritis,degenerative osteoarthritis
"right knee.,procedure",right kneeprocedure
subarachnoid block,subarachnoid block
knee arthroscopies,knee arthroscopies
flexion contracture,flexion contracture
abscess,abscess
methylmethacrylate,methylmethacrylate
left hip degenerative,left hip degenerative
hip abductors,hip abductors
trochanteric,trochanteric
degenerative hip arthritis,degenerative hip arthritis
dislocation,dislocation
implant failure,implant failure
abduction,abduction
impingement,impingement
calcar fractures,calcar fractures
piriformis and external rotators,piriformis and external rotators
extensive degenerative disease,extensive degenerative disease
"acetabulum.,baseline leg-length",acetabulumbaseline leglength
head and neck placement,head and neck placement
enlarged fibroid,enlarged fibroid
"procedure.,fluids",procedurefluids
fibroids,fibroids
adnexal adhesions,adnexal adhesions
vasopressin,vasopressin
uterine and ovarian vessels,uterine and ovarian vessels
"aortic stenosis.,procedures",aortic stenosis
arrest,arrest
full-dose heparin,fulldose heparin
aortic insufficiency,aortic insufficiency
full-dose protamine,fulldose protamine
protamine,protamine
pleural effusions,pleural effusion2
menometrorrhagia,menometrorrhagia
"abdominal hysterectomy.,anesthesia",abdominal hysterectomyanesthesia
bladder and bowel.,bladder and bowel
pedunculated fibroids,pedunculated fibroids
pedunculated fibroid,pedunculated fibroid
methylene blue,methylene blue
"staples.,a",staplesa
adenotonsillitis,adenotonsillitis
adenoids,adenoids
cleft palate,cleft palate
left anterior tonsillar pillar,left anterior tonsillar pillar
adenoid hypertrophy,adenoid hypertrophy
nosebleeds,nosebleeds
amoxicillin,amoxicillin
obstructive adenotonsillar hypertrophy,obstructive adenotonsillar hypertrophy
pharyngitis,pharyngitis
sleep-induced respiratory disturbance,sleepinduced respiratory disturbance
davis-type mouth,davistype mouth
mcivor-type mouth gag,mcivortype mouth gag
ropivacaine,ropivacaine
"1:100,000 adrenal solution",1100000 adrenalin
"palate retraction.,the nasopharynx",palate retractionthe nasopharynx
obstructive sleep,obstructive sleep
apnea syndrome,apnea syndrome
hypertrophy,hypertrophy
desaturation,desaturation
sinus infections,sinus infection
nasal trauma,nasal injury
redness,redness
polysporin ointment,polysporin ointment
crowe-davis mouth gag,crowedavis mouth gag
plica,plica
tonsillitis,tonsillitis
adrenaline,adrenaline
"thyroidectomy.,anesthesia:,1",thyroidectomyanesthesia1
"1:100,000",1100000
graves disease,graves disease
laryngeal nerve paresis,laryngeal nerve paresis
paralysis,paralysis
vocal cord dysfunction,vocal cord dysfunction
nerve injury,nerve injury
low back pain,low back pain
compressive thyroid goiter,compressive thyroid goiter
"injury to nerve, vocal fold paralysis",injury to nerve vocal fold paralysis
hoarseness,hoarseness
cosmetic deformity,cosmetic deformity
multinodular thyroid goiter,multinodular thyroid goiter
anterior motor branch,anterior motor branch
compartment syndrome,compartment syndrome
chronic pain,pain
myocardial infarction,myocardial infarction
venous anastomotic,venous anastomotic
thrombus,thrombus
"esophageal perforation.,3",esophageal perforation3
retching,retching
esophageal rupture,esophageal tear
esophagus,esophagus
right pleural effusion,right pleural effusion
pleural effusion,pleural effusion
asp,asp
fibrinous,fibrinous
thoracoabdominal aneurysm,thoracoabdominal aneurysm
aneurysm,aneurysm
celiac and right renal artery,celiac and right renal artery
empyema,empyema
mesothelioma,mesothelioma
"nodule.,procedures",noduleprocedures
follicular thyroid cancer,follicular thyroid cancer
thoracic tumor,thoracic tumor
thin,thin
venous back bleeding,venous bleeding
hemoptysis,hemoptysis
lung abscess,lung abscess
hydropneumothorax,hydropneumothorax
infiltrates of the right lung.,infiltrates of the right lung
temporary obstruction of the left mainstem bronchus,temporary obstruction of the left mainstem bronchus
gray-white,graywhite
tuberculosis,tuberculosis
pulmonary vein bleeding,pulmonary vein bleeding
right thoracic rib pain,right thoracic rib pain
temporal headaches,temporal headaches
temporal arteritis,temporal arteritis
fainting,fainting
pneumothorax,pneumothorax
"t.,postoperative",tpostoperative
tooth #t,tooth t
purulence,purulence
tooth #t was extracted by forceps extraction,tooth t was extracted by forceps extraction
carious teeth,caries teeth
carious tooth,caries teeth
tenosynovitis,tenosynovitis
"dupuytren's nodule, left palm.,anesthesia",dupuytrens nodule left palmanesthesia
osteochondromas,osteochondromas
hereditary osteochondromas,hereditary osteochondromas
osteochondroma,osteochondroma
left mandibular vestibular abscess,left mandibular vestibular abscess
abscessed,abscessed
cystic lesion,cystic lesion
basal cell nevus syndrome,basal cell nevus syndrome
cuspid,cuspid
tooth number,tooth number
"quadrants.,anesthesia",quadrantsanesthesia
methadone,methadone
hepatitis c,hepatitis c
maxillomandible,maxillomandible
hematosis,hematosis
abnormal uterine bleeding,abnormal bleeding
"endometrial ablation.,procedure",endometrial ablationprocedure
iron,iron
neoplasia,neoplasia
uterine procidentia,uterine procidentia
astramorph,astramorph
interloop bowel,interloop bowel
vulva,vulva
filmy,filmy
oozing,oozing
lactate,lactate
interloop bowel adhesions,interloop bowel adhesions
hallux abductovalgus deformity,hallux abductovalgus deformity
dexamethasone,dexamethasone
esmarch bandage,esmarch bandage
blunt dissections,blunt dissections
dexamethasone phosphate,dexamethasone phospate
compressive,compressive
"pelvic adhesions.,postoperative",pelvic adhesionspostoperative
hypermenorrhea,hypermenorrhea
"left adnexal mass.,on",left adnexal masson
hemorrhagic,hemorrhagic
left hemorrhagic,left hemorrhagic
adnexal,adnexal
"4, para 3 female",4 para 3 female
misoprostol,misoprostol
injury to surrounding organs including,injury to surrounding organs including
amputation,amputation
erosion,erosion
silver,silver
cpt,cpt
toothache,toothache
tooth pain,tooth pain
asa,asa
tooth brush,tooth brush
"1, 2, 3, 4, and 5",1 2 3 4 and 5
dobutamine,dobutamine
tamponade,tamponade
injury to the heart,injury to the heart
slap,slap
methergine,methergine
acoustic neuroma,acoustic neuroma
cerebellar peduncle compression,cerebellar peduncle compression
titanium,titanium
aortic valve,aortic valve
endocarditis,endocarditis
"mitral insufficiency.,description",mitral insufficiencydescription
burns,burns
subperiosteal abscess,subperiosteal abscess
lower extremity degloving,lower extremity degloving
squamous cell carcinoma of the head,squamous carcinoma
ethanol,ethanol
"adhesions.,4",adhesions4
squamous cell carcinoma of the right tonsil,squamous cell carcinoma of the right tonsil
name,name
angina pectoris,angina pectoris
cypher,cypher
restenosis,restenosis
thrombi,thrombi
integrilin,integrilin
statins,statins
"vaginal delivery.,anesthesia",vaginal deliveryanesthesia
meconium,meconium
roa,roa
edc,edc
hepatitis b surface antigen,hepatitis b vaccine
complaint of contractions,complaint of contractions
nubain,nubain
abrasions,abrasions
preprocedure,preprocedure
conductive hearing losses,conductive hearing losses
hearing losses with right stapedial fixation,hearing losses with right stapedial fixation
sacro-iliitis,sacroiliitis
lumbo-sacral segmental dysfunction,lumbosacral segmental dysfunction
thoraco-lumbar segmental dysfunction,thoracolumbar segmental dysfunction
739.2,7392
myalgia/fibromyositis,myalgiafibromyositis
vascular accidents,vascular injury
synovitis,synovitis
volar radial wrist mass,volar radial wrist mass
axillary block,axillary block
"area.,drains",areadrains
epl,epl
dysmorphic scoliosis,dysmorphic scoliosis
cord abnormalities,cord abnormalities
nerve injuries,nerve injury
vascular injuries,vascular injury
cord injury,cord injury
catastrophic loss of motor function,catastrophic loss of motor function
kyphosis,kyphosis
kyphoscoliosis,kyphoscoliosis
"neurologic or neurogenic scoliosis.,postoperative",neurologic or neurogenic scoliosisprocedures
"neurologic or neurogenic scoliosis.,procedures",neurologic or neurogenic scoliosisprocedures
scoliosis,scoliosis
neurogenic scoliosis,neurogenic scoliosis
thoracolumbar,thoracolumbar
facet joints,facet joints
vomit,vomit
chloride,chloride
barium enema,barium enema
ampicillin,ampicillin
cefotaxime,cefotaxime
herpes,herpes
vomiting,vomiting
painless,painless
gastroenteritis,gastroenteritis
acidosis,acidosis
viral syndrome,viral illness
co2 acidotic,co2 acidotic
burping,burping
metabolic acidosis,metabolic acidosis
"squamous cell carcinoma of right temporal bone/middle ear space.,postoperative",squamous cell carcinoma of right temporal bonemiddle ear spacepostoperative
squamous cell carcinoma of right temporal bone/middle,squamous cell carcinoma of right temporal bonemiddle
condyle,condyle
ischemia,ischemia
"lesion.,procedures",lesionprocedures
cholesterol granuloma,cholesterol granuloma
upper eyelid skin lesion,upper eyelid skin lesion
nasopharyngeal mass,nasopharyngeal mass
depressed anterior,depressed anterior
frontal sinus fracture,frontal sinus fracture
right orbital blowout fracture,right orbital blowout fracture
"airway obstruction.,postoperative diagnoses:,1",airway obstructionpostoperative diagnoses1
head and neck were prepped and draped with,head and neck were prepped and draped with
phisohex,phisohex
mucocele,mucocele
nasal fracture,nasal fracture
ductions,ductions
"flushing of the distal end.,anesthesia",flushing of the distal endanesthesia
irritability,irritability
"epinephrine 1:200,000",epinephrine 1200000
right renal stone,right renal stone
right upj stone,right upj stone
o2 increased,o2 increased
subgaleal,subgaleal
arthrosis,arthrosis
supraspinatus,supraspinatus
portnoy ventricular catheter,portnoy ventricular catheter
sublazine,sublazine
midazolam,midazolam
adverse medication reaction,adverse medical reaction
sebaceous cyst,sebaceous cyst
dehiscence,dehiscence
"nasal septal deformity.,postoperative",nasal septal deformityprocedures1
"nasal septal deformity.,procedures:,1",nasal septal deformityprocedures1
fracture of right upper lateral,fracture of right upper lateral
nasal obstruction,nasal obstruction
injury to the left medial crura,injury to the left medial crura
nasalis muscle,nasalis muscle
septal deformity,septal deformity
doyle splints,doyle splints
intermittent angina,intermittent angina
angioplasty,angioplasty
aortic valve replacement,aortic valve repair
non-st,nonst
"nasal valve collapse.,postoperative diagnoses:,1",nasal valve collapse4
"nasal septal deviation.,2",nasal septal deviation2
septal perforation,septal perforation
external deformity,external deformity
vestibular stenosis,vestibular stenosis
sinusitis,sinusitis
backbiting,backbiting
anomalous pulmonary venous,anomalous pulmonary venous
atrial septal defect,atrial septal defect
"atrial septal defect.,3",atrial septal defect3
horizontal pulmonary venous,horizontal pulmonary venous
protamine sulfate,protamine sulfate
pulmonary pneumonia,pulmonary pneumonia
melanoma,melanoma
malignant melanoma,malignant melanoma
friable,friable
hallux abductovalgus,hallux abductovalgus
solu-medrol,solumedrol
extensor hallucis longus,extensor hallucis longus
vicoprofen,vicoprofen
allergic reaction,allergic reaction
necrotic foul-smelling,necrotic foulsmelling
necrosis,necrosis
uveal prolapse,uveal prolapse
loss of vision,loss of vision
cyclodialysis,cyclodialysis
tobradex,tobradex
"right ovarian mass.,postoperative diagnoses:,1",right ovarian masspostoperative diagnoses1
right ovarian cyst,right ovarian cyst
normal-appearing vulva and vagina,normalappearing vulva and vagina
right adnexal mass,right adnexal mass
complaint of right lower quadrant pain,complaint of right lower quadrant pain
limbal rupture,limbal rupture
"ageing face.,operative procedure:,1",ageing faceoperative procedure1
administered,administered
"ace.,the lips",acethe lips
shoulder pain,shoulder pain
acromioclavicular joint disease,acromioclavicular arthritis
corneal laceration,corneal laceration
astigmatism,astigmatism
pred,pred
nasal deformity,nasal deformity
cpt 30450,cpt 30450
saddle-nose deformity,saddlenose deformity
septal hematoma,septal hematoma
saddle-nose,saddlenose
cocaine,cocaine
folliculitis,folliculitis
skin malignancy,skin cancer
alfentanil,alfentanil
erythromycin,erythromycin
"5, para 4 female",5 para 4 female
endstage renal disease,endstage renal disease
acute lymphocytic leukemia,lymphocytic leukemia
all,all
"squamous cell carcinoma of the scalp.,postoperative",squamous cell carcinoma of the scalppostoperative
cpt 11643,cpt 11643
biopsy-positive,biopsypositive
squamous call carcinoma,squamous carcinoma
reflex sympathetic dystrophy,reflex sympathetic dystrophy
allodynia,allodynia
hyperextension,hyperextension
adverse sequelae,adverse sequelae
"nose.,anesthesia",noseanesthesia
inferior turbinate hypertrophy,inferior turbinate hypertrophy
nasal splints,nasal splints
tendinosis,tendinosis
"finger).,postoperative",fingerpostoperative
esotropia,esotropia
"thumb.,surgery",thumbsurgery
cpt code 57307,cpt code 57307
obese gravida,obese gravida
vulva and vagina,vulva and vagina
int,int
depo-medrol,depomedrol
sacroiliac joints,sacroiliac joints
"carcinoma of left breast.,postoperative",carcinoma of the left breast
"carcinoma of left breast.,operation",carcinoma of the left breast
