entity_raw,canonical_entity
"thyroid lumpectomy.,anesthesia",thyroid lumpectomyanesthesia
richardson,richardson
anterior subluxation,anterior subluxation
femoral intramedullary hole,femoral intramedullary hole
poly,poly
mitomycin,mitomycin
somnolent,somnolent
homatropine,homatropine
vigamox,vigamox
"chronic obstructive pulmonary disease.,postoperative",obstructive pulmonary diseasepostoperative
"chronic obstructive pulmonary disease.,procedures",obstructive lung disease
chronic obstructive pulmonary disease,obstructive lung disease
o2 dependency,o2 dependent
fio2,fio2
cement was hand,cement was hand
arthritis,arthritis
nexgen size f femur,nexgen size f femur
"resurfaced.,gross",resurfacedgross
cortisone,cortisone
